"ID","Title","DOI","ResGrp","Institution","Journal","Year","AnalysisPgrm","CodeArchived","DAS","CorresAuthor","Preprints","Repository","Complete","Reuse","Access","Licence","Image","Genomics","Human","filepath","txt_filepath","is_open_data","open_data_category","is_open_code","open_data_statements","open_code_statements","Method"
95,"Generation of Markerless Deletions in the Nosocomial Pathogen Clostridium difficile by Induction of DNA Double-Strand Breaks","10.1128/AEM.02055-18","Blakely","Edinburgh Infectious Diseases Organisation","Applied and Environmental Microbiology (American Society for Microbiology)",2019,1,NA,NA,1,0,NA,1,1,1,1,0,NA,NA,"pdf/95.pdf","txt/95.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
96,"HO-1 drives autophagy as a mechanism of resistance against HER2-targeted therapies","10.1007/s10549-019-05489-1","Brunton","IGC (Edinburgh Cancer Research)","Breast cancer research and treatment",2019,1,NA,NA,1,0,NA,1,1,1,1,0,NA,NA,"pdf/96.pdf","txt/96.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
97,"Secretion of an Argonaute protein by a parasitic nematode and the evolution of its siRNA guides","10.1093/nar/gkz142","Buck","Edinburgh Infectious Diseases Organisation","Nucleic Acids Research                       (Oxford Academic)",2019,1,1,1,1,1,"WormBase ParaSite, PacBio sequencing data, GEO",3,4,4,4,NA,1,0,"pdf/97.pdf","txt/97.txt",TRUE,"field-specific repository",FALSE,"intriguingly exwago is highly are available through wormbase parasite (http://parasite. conserved and dominant in all clade v parasitic nematodes wormbase.org/heligmosomoides polygyrus prjeb15396) examined apart from dictyocaulus viviparus and we have and the raw pacbio sequencing data are available at ncbi further shown that it is also secreted in the rodent para- (https://www.ncbi.nlm.nih.gov/bioproject/prjeb15396). sitic nematode n. brasiliensis.;     we propose therefore that the the raw and processed small rna sequencing files are mechanism of exwago-mediated sirna export extends available through geo (accession number gse117169). beyond the h. bakeri model.",NA,"oddpub"
98,"Telomere elongation through hTERT immortalization leads to chromosome repositioning in control cells and genomic instability in Hutchinson-Gilford progeria syndrome fibroblasts, expressing a novel SUN1 isoform","10.1002/gcc.22711","Schirmer","SBS (Institute of Cell Biology)","Genes, Chromosomes and Cancer",2019,1,NA,NA,0,0,"supp",2,2,2,3,0,0,0,"pdf/98.pdf","txt/98.txt",TRUE,"field-specific repository, general-purpose repository",FALSE,"figure 8 schematic presentation of the human sun1 isoforms annotated under o94901 at uniprot database as well as other relevant sequences deposited into genbank.;     eal23707.1 the longest sun1 protein cod- matin.101 we have also seen chromosome and gene mislocalization in ing sequence (974-aa) deposited into genbank is the result of so-called 102 breast cancer cells that are missing lbr and have revealed that lbr conceptual translation of the chromosome 7 sequence.108 this sequence 103 has a role to play in development of breast cancer.;     all the c-terminal sequences were identical to those sequences gest protein coding sun1 transcript in ensembl database—sun1-001 which were already deposited in genbank supporting the notion the enst00000405266 which corresponds to the 822-aa protein—that is c-terminal half is not subjected to alternative splicing. furthermore full exome sequencing did not suggesting that the sun1 protein from t08 cells is encoded by the reveal any other variations in known integral membrane proteins (data mrna which is longer than the longest protein-coding sun1 transcript to be deposited in figshare at brunel university london as an open in ensembl database.",NA,"oddpub"
99,"The polymorphic variant rs1800734 influences methylation acquisition and allele-specific TFAP4 binding in the MLH1 promoter leading to differential mRNA expression","10.1038/s41598-019-49952-x","Tomlinson","IGC (Edinburgh Cancer Research)","Scientific Reports",2019,1,NA,1,0,0,"Mendeley ",4,4,4,4,NA,1,1,"pdf/99.pdf","txt/99.txt",TRUE,"data availability statement",FALSE,"data availability the raw data is available on mendeley at https://data.mendeley.com/datasets/hfpbctm7tg/draft? a=1c91e494- cadc-4be0",NA,"oddpub"
100,"An FBXW7-ZEB2 axis links EMT and tumour microenvironment to promote colorectal cancer stem cells and chemoresistance","10.1038/s41389-019-0125-3","Tomlinson","IGC (Edinburgh Cancer Research)","Oncogenesis",2019,1,NA,NA,0,0,"supp",2,3,2,4,0,NA,0,"pdf/100.pdf","txt/100.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
101,"Serum- and Glucocorticoid-induced Kinase Sgk1 Directly Promotes the Differentiation of Colorectal Cancer Cells and Restrains Metastasis","10.1158/1078-0432.CCR-18-1033","Tomlinson","IGC (Edinburgh Cancer Research)","Clinical Cancer Research",2019,1,NA,NA,0,0,"supp",2,3,2,2,0,0,0,"pdf/101.pdf","txt/101.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
102,"Proteome analysis of human neutrophil granulocytes from patients with monogenic disease using data-independent acquisition","10.1074/mcp.RA118.001141","Rappsilber","SBS (Institute of Cell Biology)","Molecular & Cellular Proteomics",2019,1,NA,1,1,0,"supp",2,4,4,4,NA,0,1,"pdf/102.pdf","txt/102.txt",TRUE,"field-specific repository",FALSE,"the mass spectrometry a top10 dda method was used as follows: 1 full ms1 scan proteomics data have been deposited to the proteomexchange between 350 and 1300 m/z at resolution of 120000 with agc consortium via the pride (33) partner repository with the data target of 3e6 maximum injection time (it) of 50 ms and a set identifier pxd010701. default charge state of 2.;     ms2 tolerances; fixed modifications: carbamidomethylation all settings for our spectronaut analyses can be found in the of c (⫹57.021464 da); variable modifications: acetylation of spectronaut experiment file (.sne) uploaded to the pride protein n-term (⫹42.010565 da) oxidation of m (⫹15.994915 archive with raw files.",NA,"oddpub"
103,"Gain of function DNMT3A mutations cause microcephalic dwarfism and hypermethylation of polycomb-regulated regions","10.1038/s41588-018-0274-x","Rappsilber","SBS (Institute of Cell Biology)","Nature Genetics",2019,1,0,0,0,0,"European Genome-phenome Archive (EGA)",3,4,4,4,NA,1,1,"pdf/103.pdf","txt/103.txt",TRUE,"field-specific repository, data availability statement",FALSE,"consistent with this model ciated accession codes are available at https://doi.org/10.1038/ we see low levels of h3k36me3 at dmrs and dmvs which are s41588-018-0274-x explained by h3k36me2 and h3k36me3 rarely coexisting with h3k27me3 on histones3233.;     p1: female; child ( age at skin biopsy unknown) p2: male; child (age at skin biopsy 4y11m) p3: male; child (age at blood sampling 4y9m) c1: male adult (age at skin biopsy 40) c2: female adult (age at skin biopsy 37) c3: male adult (age at blood sampling unknown) father of p2 march 2018 c4: female adult (age at blood sampling unknown) mother of p1 c5:female adult (age at skin biopsy 43) 3 method-specific reporting nature research | reporting summary n/a involved in the study chip-seq flow cytometry magnetic resonance imaging chip-seq data deposition confirm that both raw and final processed data have been deposited in a public database such as geo.      data availability and asso- polycomb-associated regions (fig. 6e). consistent with this model ciated accession codes are available at https://doi",NA,"oddpub"
104,"Inferring HIV-1 transmission networks and sources of epidemic spread in Africa with deep-sequence phylogenetic analysis","10.1038/s41467-019-09139-4","Leigh-Brown","Edinburgh Infectious Diseases Organisation","Nature Communications                   (Nature)",2019,1,0,0,0,0,"Dryad ",3,3,4,4,NA,0,1,"pdf/104.pdf","txt/104.txt",TRUE,"supplement",FALSE,"we sequence phylogenies are reported in supplementary data 1) cross-validated our ﬁndings on the direction of transmission suggesting they were likely infected by a common unobserved using hiv-1 testing history and clinical data that provided male partner.;     deep-sequence phylogenies of all other windows are shown in supplementary data 1. b phyloscan plot of subgraph distances (y-axis) and subgraph topologies (colour) across the genome for both female−female pairs.",NA,"oddpub"
105,"MEK1/2 inhibitor withdrawal reverses acquired resistance driven by BRAF amplification but promotes EMT/chemoresistance when KRAS is amplified","10.1038/s41467-019-09438-w","Arends","IGC (Edinburgh Cancer Research)","Nature Communications",2019,1,1,0,0,0,"GEO",2,4,4,4,0,1,0,"pdf/105.pdf","txt/105.txt",TRUE,"field-specific repository, supplement",FALSE,"data are chromosomes were dehydrated through an ethanol gradient (70% 85% 100% available in the gene expression omnibus (https://www.ncbi.nlm.nih.gov/geo/) 3 min each) pre-warmed to 37 °c denatured at 70 °c in 70% (v/v) deinionized under accession number gse120993. formamide/2 × ssc (0.3 m sodium chloride 30 mm sodium citrate) for 1 min 20 s quenched in ice-cold 70% (v/v) ethanol for 2 min and again dehydrated through an ethanol gradient (70% 85% 100% 3 min each).;     oncogene 27 (accession number gse120993) rna sequencing (gse126109) and array comparative 5975–5987 (2008). genomic hybridization (gse126367) data are available in the gene expression omnibus 26.   all xenograft sizes were recorded twice of cdkn1c/p57kip2 (fig. 4c) in the supplementary data 1. weekly using calipers from 7 days after transplantation until reaching pre- established humane endpoint criteria including xenograft size (l × w > 1.2 cm2) loss of body weight (>10% in a week) or general signs of sickness such as sirna-mediated knockdown.;     uncropped western blot images are shown for cleared lysate was mixed with 795 μl ultra-pure water and 200 μl bradford fig. 8f (knockdown of snai1 snai2 or zeb1) in supplementary data 2. reagent (bio-rad watford uk) and absorbance at 595 nm measured using a pherastar fs plate reader (bmg labtech aylesbury uk).;     cells were washed three times in 0.5% (w/v) western blot images are shown for fig. 4c (knockout of cdkn1c/p57kip2) and bsa/pbs and resuspended in 1 μg ml−1 of dapi (sigma-aldrich dorset uk) in fig. 8f (knockdown of snai1 snai2 or zeb1) in supplementary data 1 and pbs to allow assessment of cell cycle proﬁle.;     phospho-erk1/2 and edu co-staining supplementary data 2 respectively. was assessed with a facs lsrii ﬂow cytometer (bd biosciences oxford uk) counting 10000 cells per sample using no edu and no phospho-erk1/2 primary mass spectrometry.",NA,"oddpub"
106,"ALPK1 hotspot mutation as a driver of human spiradenoma and spiradenocarcinoma","10.1038/s41467-019-09979-0","Arends","IGC (Edinburgh Cancer Research)","Nature Communications",2019,1,1,1,0,0,"European Genome-phenome Archive",4,3,2,4,NA,1,1,"pdf/106.pdf","txt/106.txt",TRUE,"supplement, data availability statement",FALSE,"1 supplementary data 2).;     in addition to tumors have potential for local recurrence while disseminated snvs we also called 219 small insertion/deletions (indels) disease and disease-related mortality is largely limited to high- (supplementary data 2).;     as yet only mutations in the tp53 available (agilent design id: s3065404) (supplementary data 1). gene have been reported in the malignant tumors1011.;     2. (from 42 patients) while the remaining 23 samples (15 patients) without matched normal/germline dna were used as a validation cohort (supplementary data 1).;     alpk1 p.v1092a mutation a further 10 spiradenoma tumor/ we discovered a recurrent somatic hotspot mutation in the normal pairs were tested via sanger sequencing and the p. alpha-kinase domain of the alpk1 gene (p.v1092a) in 7/ v1092a mutation was observed in six tumors. 16 spiradenomas 2/8 high-grade and 2/6 low-grade spiradeno- carcinomas (figs. 1 and 2 supplementary data 2) from our discovery cohort.;     cyld regulates the nf-κb pathway which plays were conﬁrmed to be mutation negative (supplementary data 1). important roles in cell growth and survival2627.;     this mutation was also observed in sequence data generated tion (supplementary data 1).;     we also performed an somatic mutations in the proximal regulatory regions of other analysis combining mutations for each tumor type together and genes such as spta1 hmcn1 and col11a1 were also detected again identiﬁed signature 1 and signature 7 in cylindromas while (supplementary data 2). several low-grade spiradenocarcinomas showed a signal for signature 26 which is thought to be associated with dna mismatch repair30.;     over- dna was not available for a further 23 samples (15 patients; 3 expression of myb was however conﬁrmed in cylindroma and cylindroma 1 spiradenoma 1 cylindroma–spiradenoma hybrid 3 spiradenoma cases using immunohistochemistry (fig. 1 and low-grade spiradenocarcinoma and 7 high-grade spir- supplementary data 4) suggesting that other mechanisms of adenocarcinoma) and thus we used the tumor sequences from gene overexpression are operative. these cases as a validation cohort to look for variants in genes identiﬁed from the above-mentioned analyses.;     we assessed the coding mutations were also detected in cyld in several cylindroma mutation burden per gene using a fisher’s exact test (see methods) cases (pd29695a pd29696a and pd29700a) and in one low- (supplementary data 2)36 using variants from the 42 cases where grade spiradenocarcinoma (pd29676a).;     the benjamini–hochberg method was used to correct for can be found in supplementary data 1.;     to conﬁrm our ﬁndings from whole-exome “unknown” signature30. sequencing we validated mutations in the top recurrently mutated genes using panel sequencing (supplementary data 5).   data availability 25. kovalenko a. et al. the tumour suppressor cyld negatively regulates nf- the data have been accessioned under the study egas00001001799",NA,"oddpub"
107,"Developmental competence and antigen switch frequency can be uncoupled in Trypanosoma brucei","10.1073/pnas.1912711116","Matthews","Edinburgh Infectious Diseases Organisation","Proceedings of the National Academy of Science (PNAS)",2019,1,1,NA,1,0,"supp",2,4,4,4,0,1,NA,"pdf/107.pdf","txt/107.txt",TRUE,"field-specific repository, general-purpose repository, supplement, data availability statement",TRUE,"antigen switching can occur by changing the active data deposition: the data reported in this paper have been deposited in the gene ex- pression omnibus (geo) database www.ncbi.nlm.nih.gov/geo (accession no. gse134892). expression site or by gene conversion of a vsg into the active scripts for vsgseq analysis are available at github https://github.com/mugnierlab/ expression site either as intact genes from a silent location or vsgseqpipeline/blob/master/vsgseqpipeline.py. through the assembly of chimeras.;     for detection of vsg antat1.1 expression the cells were counts were normalized to the reads per kilobase of transcript per million resuspended in 200 μl of 1:20000 diluted α-vsg antat1.1 in 2% bsa/1× pbs mapped reads (rpkm) to account for gene size and read depth (dataset s1). and incubated at 4 °c for 30 min washed twice more with 1× pbs and then the data discussed in this manuscript have been deposited in ncbis gene incubated with 200 μl of 1:1000 diluted α-rabbit secondary antibody conju- expression omnibus and are accessible through geo series accession number gated to cy5 (jackson immunoresearch) in 2% bsa/1× pbs for a further 30 gse134892 (https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?;     these orfs were compared against the downloaded from https://www.pnas.org by university of edinburgh on june 20 2024 from ip address 192.41.114.228. ing the forward (fsc) and side scatter (ssc) profiles to ensure that only intact t. b. brucei eatro1125_vsgs reference database (http://129.85.245.250/downloads/ and singlet cells were analyzed with the gates for vsg antat1.1 vsg 221 or vsgs_tb1125_all_atleast150aas_cds.txt) generated using available t. brucei gfp determined based on the control samples.;     to assay vsg switch frequency eatro1125 sequences deposited in genbank (https://www.ncbi.nlm.nih.gov/ 2 × 107 cells were processed as before except that the blocking and antibody genbank/) using blastn to identify vsg sequences.  antigen switching can occur by changing the active data deposition: the data reported in this paper have been deposited in the gene ex- pression omnibus (geo) database www.ncbi.nlm.nih.gov/geo (accession no. gse134892). expression site or by gene conversion of a vsg into the active scripts for vsgseq analysis are available at github https://github.com/mugnierlab/ expression site either as intact genes from a silent location or vsgseqpipeline/blob/master/vsgseqpipeline.py. through the assembly of chimeras. s7 and table s1 and dataset s1) (22 23).;     for detection of vsg antat1.1 expression the cells were counts were normalized to the reads per kilobase of transcript per million resuspended in 200 μl of 1:20000 diluted α-vsg antat1.1 in 2% bsa/1× pbs mapped reads (rpkm) to account for gene size and read depth (dataset s1). and incubated at 4 °c for 30 min washed twice more with 1× pbs and then the data discussed in this manuscript have been deposited in ncbis gene incubated with 200 μl of 1:1000 diluted α-rabbit secondary antibody conju- expression omnibus and are accessible through geo series accession number gated to cy5 (jackson immunoresearch) in 2% bsa/1× pbs for a further 30 gse134892 (https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?   data deposition: the data reported in this paper have been deposited in the gene ex- pression omnibus (geo) database www.ncbi.nlm.nih.gov/geo (accession no. gse134892","antigen switching can occur by changing the active data deposition: the data reported in this paper have been deposited in the gene ex- pression omnibus (geo) database www.ncbi.nlm.nih.gov/geo (accession no. gse134892). expression site or by gene conversion of a vsg into the active scripts for vsgseq analysis are available at github https://github.com/mugnierlab/ expression site either as intact genes from a silent location or vsgseqpipeline/blob/master/vsgseqpipeline.py. through the assembly of chimeras.;     available at https://github.com/ plasmodium falciparum var transcription during adaptation to culture.","oddpub"
108,"Positional Dynamics and Glycosomal Recruitment of Developmental Regulators during Trypanosome Differentiation","10.1128/mbio.00875-19","Matthews","Edinburgh Infectious Diseases Organisation","mBio                                                    (American Society for Microbiology)",2019,1,NA,NA,1,1,"supp",2,3,2,4,1,NA,NA,"pdf/108.pdf","txt/108.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
109,"Fetal liver Mll-AF4+ hematopoietic stem and progenitor cells respond directly to poly(I:C), but not to a single maternal immune activation","10.1016/j.exphem.2019.07.004","Ottersbach","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Experimental Hematology",2019,1,NA,NA,1,0,NA,1,1,1,1,NA,NA,NA,"pdf/109.pdf","txt/109.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
110,"DNA damage signalling from the placenta to foetal blood as a potential mechanism for childhood leukaemia initiation","10.1038/s41598-019-39552-0","Ottersbach","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Scientific Reports",2019,1,NA,NA,0,0,NA,1,1,1,1,0,NA,NA,"pdf/110.pdf","txt/110.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
111,"Antibodies to Peptides in Semiconserved Domains of RIFINs and STEVORs Correlate with Malaria Exposure","10.1128/msphere.00097-19","Rowe","Edinburgh Infectious Diseases Organisation","mSphere                                             (American Society for Microbiology)",2019,1,NA,NA,0,0,"supp",2,4,2,4,0,NA,NA,"pdf/111.pdf","txt/111.txt",TRUE,"supplement",FALSE,"table s1 xlsx",NA,"oddpub"
112,"Plasticity and genetic variation in traits underpinning asexual replication of the rodent malaria parasite, Plasmodium chabaudi","10.1186/s12936-019-2857-0","Savill","Edinburgh Infectious Diseases Organisation","Malaria Journal                                         (BMC Springer Nature)",2019,1,NA,0,0,0,NA,1,1,1,1,NA,NA,NA,"pdf/112.pdf","txt/112.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
113,"Assembly and annotation of the mitochondrial minicircle genome of a differentiation-competent strain of Trypanosoma brucei","10.1093/nar/gkz928","Savill","Edinburgh Infectious Diseases Organisation","Nucleic Acids Research                       (Oxford Academic)",2019,1,1,1,1,0,"Figshare ",3,4,4,4,NA,1,NA,"pdf/113.pdf","txt/113.txt",TRUE,"field-specific repository, general-purpose repository, data availability statement",TRUE,"maxicircle gene annotations were trans- the regular expression for the reverse sequence was short- ferred manually from m94286.1 and the 16.4-kb eatro ened to tatta and a new search made 100–150 bp down- 1125 maxicircle fragment was submitted to genbank (ac- stream from the forward sequence.;     we strand of minicircles: mo 030(v) gnd8 v2(496–522) have submitted the entire set of 391 minicircles sequences mo 204(i) gcox3(213–256) mo 235(i) gcox3(203– with all predicted grna genes annotated (canonical grna 250) mo 361(i) gcox3(210–255) genes predicted by non-gapped alignments only) to gen- mo 362(i) gcox3(211–256) mo 364(i) grps12(107– bank accession number lbir00000000.;     to what extent these kdna-annotation. differences reflect transcription vs. processing by the mp- the t. brucei eatro 1125 antat1.1 maxicircle con- some complex (60) is an interesting question for future stud- served region and the 391 assembled minicircles are de- ies. posited in genbank (accession numbers mk584625 and one of the most interesting discoveries in our study was lbir00000000 respectively). the large number of putative grna genes that could not dna and rna sequencing data are deposited in ncbi be readily matched to known sequences of edited mrnas. all align- observations (3955) and mathematical modelling studies ments are available through jbrowse a web-based genome (3956) that minicircle replication and segregation are not browser (58) at http://hank.bio.ed.ac.uk and for down- fully deterministic but instead have a random component load as plain text files from figshare (https://doi.org/10. which results in plasticity of copy numbers and over time 6084/m9.figshare.7756808.v1).;     it was notable that with matting restrictions is available from figshare (https://doi. one exception all were located in the first cassette on their org/10.6084/m9.figshare.7756808.v1). minicircle and five are predicted to match similar regions of the edited cox3 mrna.;     47 no. 21 11319 morphism in the edited sequence at nt 379 with one pop- could direct this alternative editing event (compare align- ulation of transcripts corresponding to the published se- ment text files ‘cox3 nogaps exp’ and ‘cox3 gaps all’ quence (here represented by nd8 v1) and another popu- available on figshare) but we also identified numerous lation that is characterised by deletion of an additional u grnas that would direct canonical editing of the same re- (represented by nd8 v2) (supplemental figure s5b).;     while initiation important step towards solving the question of alternative of grnas occurs at a remarkably conserved distance of editing will be the production of high quality mitochondrial 30–32 nt from the forward 18-bp repeat as reported pre- mrna transcriptomes for multiple strains of t. brucei and viously (9) we found that the corresponding distances for other species. antisense transcripts to the reverse 18-bp repeat showed a normal distribution that peaked around 40 nt (a notable ex- ception were the putative grnas produced from the anti- data availability sense strand these initiate 30–32 nt from the reverse 18-bp additional data are available on figshare (https://doi. repeat).     data availability sense strand these initiate 30–32 nt from the reverse 18-bp additional data are available on figshare","in a final round of assembly reads study are available at https://github.com/nicksavill/kdna- not mapping to these 344 minicircles were assembled with annotation.","oddpub"
114,"Engineering Genetic Predisposition in Human Neuroepithelial Stem Cells Recapitulates Medulloblastoma Tumorigenesis","10.1016/j.stem.2019.05.013","Pollard","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Cell Stem Cell",2019,1,NA,1,0,0,"supp",3,3,2,4,0,1,NA,"pdf/114.pdf","txt/114.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
115,"Discovery of volatile biomarkers of Parkinson’s Disease from sebum","10.1021/acscentsci.8b00879","Kunath","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","ACS Central Science",2019,1,1,NA,0,1," ACS Publications website",2,3,3,4,NA,NA,NA,"pdf/115.pdf","txt/115.txt",FALSE,NA,TRUE,NA,"gauze swabs were transferred into 20 ml and executed using matlab (2018a)1920 and the matlab headspace vials and then analyzed by dhs−td−gc−ms. functions are freely available from our in-house cluster toolbox for the dhs preconcentration step samples were incubated hosted at https://github.com/biospec.","oddpub"
116,"Nature and consequences of interactions between Salmonella enterica serovar Dublin and host cells in cattle","10.1186/s13567-019-0720-5","Vohra","Edinburgh Infectious Diseases Organisation","Veterinary Research                                 (BMC Springer Nature)",2019,1,NA,NA,1,0,NA,1,1,1,1,0,NA,NA,"pdf/116.pdf","txt/116.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
117,"Quantitative Analyses Reveal Novel Roles for N-Glycosylation in a Major Enteric Bacterial Pathogen","10.1128/mbio.00297-19","Vohra","Edinburgh Infectious Diseases Organisation","mBio                                                    (American Society for Microbiology)",2019,1,NA,1,0,0,"ProteomeXchange",2,4,4,4,NA,NA,NA,"pdf/117.pdf","txt/117.txt",TRUE,"field-specific repository, supplement",FALSE,"the raw quantitative proteomic data have been deposited to the proteome- xchange consortium (http://www.proteomexchange.org/) via the pride partner repository with identiﬁer pxd011452.     table s1 tif ﬁle 0.1 mb. table s2 csv",NA,"oddpub"
118,"Retrospective application of transposon-directed insertion-site sequencing to investigate niche-specific virulence of Salmonella Typhimurium in cattle","10.1186/s12864-018-5319-0","Vohra","Edinburgh Infectious Diseases Organisation","BMC Genomics                                         (BMC Springer Nature)",2019,1,NA,1,1,0,"European Nucleotide Archive",3,3,4,4,NA,1,NA,"pdf/118.pdf","txt/118.txt",TRUE,"supplement",FALSE,"xlsx 498 kb) monitored every 12 h. post-mortem examinations were additional file 5",NA,"oddpub"
119,"Antigen Sampling CSF1R-Expressing Epithelial Cells Are the Functional Equivalents of Mammalian M Cells in the Avian Follicle-Associated Epithelium","10.3389/fimmu.2019.02495","Vohra","Edinburgh Infectious Diseases Organisation","Frontiers in Immunology               (Frontiers)",2019,1,NA,1,0,0,"supp",2,4,2,4,1,NA,NA,"pdf/119.pdf","txt/119.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
120,"Disentangling sRNA-Seq data to study RNA communication between species","10.1093/nar/gkz1198","Buck","Edinburgh Infectious Diseases Organisation","Nucleic Acids Research                       (Oxford Academic)",2020,1,1,1,1,1,"NCBI’s GEO",3,4,4,4,NA,1,NA,"pdf/120.pdf","txt/120.txt",TRUE,"supplement, data availability statement",TRUE,"fasta files of the contigs or mentary table s3 data availability reference arabidopsis thaliana botrytis cinerea rosette leaves: 24 48 and 72 h sequence read archive: (11) after infection srp019801","the r scripts we used to perform these analy- tracted after the necrotrophic fungus has grown and in- ses are also available in the repository: https://github.com/ vaded the tissue of its host.;     the main scripts for the analyses presented in this experiment a few mirnas that we know are present in pu- paper are available in the repository: https://github.com/ rified evs (e.g. let-7 mir-100) are naturally expressed in obedramirez/disentangling-srna-seq mode-k cells.","oddpub"
121,"Whole Blood Profiling of T-cell-Derived microRNA Allows the Development of Prognostic models in Inflammatory Bowel Disease","10.1093/ecco-jcc/jjaa134","Buck","Edinburgh Infectious Diseases Organisation","Journal of Crohn's and Colitis            (Oxford Academic)",2020,1,NA,NA,NA,0,"supp",2,2,2,3,NA,0,0,"pdf/121.pdf","txt/121.txt",TRUE,"supplement",FALSE,"supplementary data 18.",NA,"oddpub"
122,"Recapitulation of the EEF1A2 D252H neurodevelopmental disorder-causing missense mutation in mice reveals a toxic gain of function","10.1093/hmg/ddaa042","Abbott","IGC (Centre for Genomic and Experimental Medicine)","Human Molecular Genetics",2020,1,NA,NA,1,0,"supp",2,3,2,3,NA,NA,NA,"pdf/122.pdf","txt/122.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
123,"Translation elongation factor 1A2 (eEF1A2) is encoded by one of four closely related eef1a genes and is dispensable for survival in zebrafish","10.1042/BSR20194191","Abbott","IGC (Centre for Genomic and Experimental Medicine)","Bioscience Reports",2020,1,NA,0,1,1,"supp",2,2,2,4,NA,NA,NA,"pdf/123.pdf","txt/123.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
124,"Mutations in COPA lead to abnormal trafficking of STING to the Golgi and interferon signaling","10.1084/jem.20200600","Crow","IGC (Centre for Genomic and Experimental Medicine)","Journal of Experimental Medicine",2020,1,0,NA,1,0,NA,1,1,1,1,0,NA,0,"pdf/124.pdf","txt/124.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
125,"Tm7sf2 disruption alters radial gene positioning in mouse liver leading to metabolic defects and diabetes characteristics","10.3389/fcell.2020.592573","Schirmer","SBS (Institute of Cell Biology)","Frontiers in Cell and Developmental Biology",2020,1,1,1,1,0,"NCBI GEO",3,4,4,4,0,1,NA,"pdf/125.pdf","txt/125.txt",TRUE,"field-specific repository, supplement, data availability statement",FALSE,"damid data are available at ncbi geo with id gse155762.;     further search for genes with from the current analysis were deposited at ncbi geo transcriptional regulation activity was performed using gene with id gse155762.;     thus the ko of this one reads) genome coverage respectively for wt and tm7sf2−/− ne protein had a profound effect on radial genome organization. mice (all sequence reads deposited at geo repository id the most highly upregulated gene in the tm7sf2 ko mouse gse151044).;     damid data and a table integrating its analysis with the 592573/full#supplementary-material expression data are available on ncbi geo with id gse151044.;     raw microarray data and the subsequent processed data used in supplementary table 1 | summary of damid and transcriptome data (xlsx this study are available on ncbi geo with id gse155762. format).;     raw data available on ncbi geo with id gse151044 (damid) and gse155762 (transcriptome).     supplementary table 1 | summary of damid and transcriptome data (xlsx data availability statement the supplementary material for this article can be found online at: https://www.frontiersin.org/articles/10.3389/fcell.2020. damid data and a table integrating its analysis with the 592573",NA,"oddpub"
126,"A multistage sequencing strategy pinpoints many novel and candidate disease alleles for orphan Disease Emery-Dreifuss Muscular Dystrophy and Supports Gene Misregulation as its Pathomechanism","10.1016/j.ebiom.2019.11.048","Schirmer","SBS (Institute of Cell Biology)","eBioMedicine",2020,1,NA,NA,1,1,"supp",2,3,2,4,0,0,0,"pdf/126.pdf","txt/126.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
127,"Novel Roles of PRK1 and PRK2 in cilia and cancer biology","10.1038/s41598-020-60604-3","Frame","IGC (Edinburgh Cancer Research)","Scientific Reports",2020,1,NA,1,0,0,NA,1,1,1,1,0,NA,NA,"pdf/127.pdf","txt/127.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
128,"Pervasive chromosomal instability and karyotype order in tumour evolution","10.1038/s41586-020-2698-6","Tomlinson","IGC (Edinburgh Cancer Research)","Nature",2020,1,1,1,0,0,"TRACERx study",4,4,3,4,0,NA,1,"pdf/128.pdf","txt/128.txt",TRUE,"field-specific repository",FALSE,"this statement should provide the following information where applicable: - accession codes unique identifiers or web links for publicly available datasets - a list of figures that have associated raw data - a description of any restrictions on data availability tracerx sequencing datasets used in this paper are described in previous studies (see pmid:28445112 and pmid:30894752).",NA,"oddpub"
129,"The Molecular Epidemiology and Transmission Dynamics of HIV Type 1 in a General Population Cohort in Uganda","10.3390/v12111283","Leigh-Brown","Edinburgh Infectious Diseases Organisation","Viruses (Multidisciplinary Digital Publishing Institute MDPI)",2020,1,NA,NA,0,0,"Genbank",2,4,4,4,NA,1,0,"pdf/129.pdf","txt/129.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
